Opponent,Turns,Map,Avarage turn time
java GreedyBot1,40,maps/8planets/map1.txt,1
java GreedyBot1,39,maps/8planets/map3.txt,0
java GreedyBot1,44,maps/8planets/map2.txt,0
java GreedyBot1,61,maps/8planets/map2.txt,0
java GreedyBot1,53,maps/8planets/map1.txt,1
java GreedyBot1,36,maps/8planets/map3.txt,1
java GreedyBot3,65,maps/8planets/map2.txt,0
java GreedyBot3,40,maps/8planets/map1.txt,1
java GreedyBot3,47,maps/8planets/map1.txt,1
java GreedyBot3,76,maps/8planets/map2.txt,0
java GreedyBot4,22,maps/8planets/map1.txt,1
java GreedyBot5,88,maps/8planets/map3.txt,0
java GreedyBot9,18,maps/8planets/map3.txt,1
java GreedyBot9,40,maps/8planets/map2.txt,1
java GreedyBot12,41,maps/8planets/map3.txt,1
java GreedyBot12,77,maps/8planets/map1.txt,0
java GreedyBot12,67,maps/8planets/map2.txt,0
java GreedyBot13,76,maps/8planets/map2.txt,0
java GreedyBot13,42,maps/8planets/map3.txt,1
java GreedyBot13,43,maps/8planets/map3.txt,0
java GreedyBot13,59,maps/8planets/map1.txt,0
java GreedyBot13,65,maps/8planets/map2.txt,0
